User,Chatbot,Intent
What is the purpose of existence?,It is to find the answer to the question of life .,Info
Beer is a powerful drug.,So are cigarettes.,
It's so nice to have a heated apartment.,How did they survive in the old days?,
Where's the pencil sharpener?,Which one?,
Can i whack you in the face ?,You're serious ?,Angry_Frustrated
Doesn't crime cost more than police?,"Yes, it does.",
Have you ever been to russia?,"No, i have not. how about you?",Confirm
What do you think about cleopatra ?,"Oh, she's very regal.",Info
Thanks,It's always a pleasure dealing with you,Thanks
I am going to kill you,I'm not going to die.,Angry_Frustrated
I have to go shopping today.,You'd better take an umbrella.,Info
We would like to change 300 euros into pounds.,"Sure, can i have your passport please?",
How many jobs have you had since leaving university?,I've worked for six companies.,
A blind date is a date with someone you don't know.,Why would i date someone i don't even know?,
Are you a human or are you just pretending to be a human ?,I am not pretending to be anything .,Confirm
Today is friday the thirteenth.,That's a bad day.,
Please remember to be polite when you eat dinner.,I will try not to be rude. thank you.,Info
I would like to book the royal crown.,How many nights?,
I never miss the food and drink section.,I gave a subscription to my parents.,Eat_Food
I can't wait until i graduate.,Me too.,Happy_Excited_Joy
What do you think about the solar system ?,I think it is an interesting concept of cosmology .,Info
What are you getting for your mom?,What are you talking about?,
Do you like soccer ?,Yes.,Hobby
I love you.,"I love you, too.",Love
I got a d in college chemistry.,"Well, a d is better than an f.",
"If you're a smart doctor, you stay away from hospitals.","Yes, the smart doctors are those tv news doctors no hospitals, no patients.",
I cut my finger.,How did you do that?,Health
I'll be glad when winter comes.,Why is that?,Happy_Excited_Joy
"I don't think so. after i finish, i'll have enough money to go to college.",That's not a bad idea.,
I have to clean the house.,"Yes, it's very dirty.",
Can we have a table for two?,"No problem, follow me please.",Confirm
Did you shine your shoes?,My shoes are shined.,Confirm
I need to type to make money.,But typing is causing you pain.,
Check your tires or you'll get a flat.,Oh. that's not good.,
Lunch was delicious.,Thank you.,Eat_Food
Thank goodness! i don't want to see any wild animals.,All we've seen so far is a couple of lizards.,Thanks
What is the capital city of singapore ?,Singapore .,Info
"A long time ago, flying used to be okay.",Now it's like riding a bus.,
Do you want to be loved or love ?,Both,Love
I'm looking in the newspaper for a job.,Good luck!,
I have been hanging out with my friend. have you seen tess? i heard she had an argument with her boyfriend.,"Yes, i heard about that. did they make up yet?",
"When i started to cross the street, the white walk sign was blinking.",You need to walk faster.,
What is immoral ?,The fact that you have a child.,
Right. that's a good idea. and how about having a no-smoking policy in the staff restaurant?,I don't think i like the idea very much. it wouldn't be good for morale. what about setting up a counseling service ?,
Don't order for me. i'm not hungry.,"I'm very hungry. i'll order for you, and then i'll eat yours.",
Do you like music ?,Yeah .,Hobby
Have you got a pen handy?,Here you are.,
What is the most important quality of a man ?,The true love of god .,
What's your mailing address?,"456 cherry drive, pasadena, ca 91170.",
The house burned down.,What happened?,Sad
You speak two languages.,"Well, my english isn't perfect.",
I just cut myself again.,Did you use a new blade?,Health
Poems are a little bit like songs.,"Yes, but songs have music. without music, songs would suck, too.",Info
I need a cheap car.,How much money do you have?,
"Ok, thank you very much.",You're welcome.,Thanks
The nation is switching to digital tv.,Oh. of course i'm ready.,
I love to go online.,The internet is amazing.,Love
Can we live a week without drinking ?,I don't know .,
Tell me a secret,Do you have a real inspiration?,Info
I want to get a puppy for my son.,That will make him so happy.,Happy_Excited_Joy
Where does cheese come from?,It comes from cows.,Info
"Hello, i'll be your waiter today. can i start you off with something to drink?","Yes. i'll have iced tea, please.",Eat_Food
Your sleeves are not tissues.,"But mom, all my friends use their sleeves.",
This is a nice neighborhood.,The streets are clean and quiet.,Happy_Excited_Joy
I know you don't like phill collins very much sweetheart.,Tomorrow we can go to see the phantom of the opera or cats.,
Stress causes your stomachaches?,Stress causes different problems with different people.,Health
"Help me do the math , what is two plus two ?",Four .,Info
Pleased to meet you.,Pleased to meet you too. Are you from Bangladesh?,Meet/Talk
The election is next week.,Who are you voting for?,
What 's the best thing about living in the future ?,Everything .,Info
Who did you vote for for president?,I voted for ralph nader.,
Does a snake have a nose?,No. it does not.,Info
I am from washington.,What are your hobbies?,Introduction
Bring a jacket.,Yes. it gets a little cool at night.,
Old movies are the best.,Even though they're in black and white.,Compliment
Don't pick your nose.,I wasn't picking my nose.,Info
No one speaks perfect english.,Maybe i will be the first!,
What's an early bird?,Maybe we should google it...,Info
Where do you want to go?,I want to travel to america.,
My hard drive crashed.,"Oh, no. that's bad news.",
Why should companies be ethical?,I think that companies are part of society and as such they should reflect society's standards.,Info
What do you think about creativity ?,I think that 's a very good quality .,Hobby
What a fantastic performance! thank you for inviting me to the musical.,You are welcome. i'm happy you enjoyed the show. the choreography of the dancers was incredible. it reminds me of when i used to dance.,Thanks
Is ethics and morality the same ?,No,Info
Tell me something about your parents ?,"They are nice and caring,",Introduction
"So, every time the plane goes up, my ear starts to hurt.",That's no good.,Health
What is the story of the man traveled to the new land ?,The man who discovered the location of the ruins ?,Info
I do not like dancing very much.,Really? i did not know that.,Hobby
I'm taking a math course in school.,"Well, you should ask your teacher or your classmates for help.",
Is meg inside?,"No, she is outside by the tall person.",
Babies cry all the time.,You have to change their diapers.,Angry_Frustrated
What is your gender?,"I'm a robot, i don't have gender",Introduction
Where do you want to collect your tickets sir?  we can deliver them anywhere.,The royal crown,
What was the lead story on the news?,Some actress was in court for driving without a license.,
The pacific ocean is ...,The clearest place on earth .,Info
My name is john. what is my name ?,EDAIC. what's your job?,Introduction
I can't believe he won the election.,Only 15 percent of the voters turned out.,
I don't have long distance service with my home phone.,So how do you make long distance calls?,
The ocean is so big.,You can't see the end of it.,Surprise_Amazed
Steve is my name . what is my name ?,Steve,Introduction
What mistakes have you made?,I'm not patient when people don't meet deadlines.,
I'm stuffed.,Of course you are. you ate everything on the table.,Eat_Food
Two ham and cheesse sandwiches and pineapple.,"Just now, i would eat a sandwich of sliced battered squid with garlic sauce from los tanques.",Eat_Food
I have to go to the bathroom.,Why didn't you go before we left?,
"Clean the sink, the tub, the counter, and the toilet.",That's a lot of work.,
You are not helping,Shhh... Sorry. I think I messed up a little bit.,Sorry
A hospital is the most dangerous place in the world.,"Oh, yes, because of all the killer germs.",
The speed limit is 65.,I know that.,
Okay. i'll return your pen when i'm done.,Take your time.,
Cheddar. one pound please. can i have it sliced?,"Sure, here you are.",Confirm
What is the purpose of dying ?,To have an after life .,Info
Can i have your passport please?,Here you are.,
There was a bomb threat at the airport.,Only a threat?,Surprise_Amazed
This is such a long light.,Look how many cars are waiting in line.,Busy
The only thing in my backpack is used books.,But thieves don't know that.,
I hate you,Why? what have i done to derserve this? can't we be friends?,Angry_Frustrated
"I am happy, but marriage is a lot of responsibility.","Yes, you have to take care of your wife.",Happy_Excited_Joy
What is your best childhood memory ?,"When we were kids, we had our own secret language .",Info
It seems like i get a new pimple almost every day.,Maybe it's something in your diet.,Health
I wish i could afford first class seats.,Doesn't everybody?,Sad
I wish i was really smart.,Don't be ridiculous.,Sad
What is your name ?,"Khromov , and you ?",Info
Good night.,Good night.,Farewell
What are those wipes for?,You use them to wipe the handle of the shopping cart.,
I toss and turn all night.,You should stop drinking coffee.,Sad
Would you please pass the salt? thank you.,You are welcome.,Thanks
"Next time you go to the market, let me go with you.","No, thank you. all you want to eat are hot dogs and candy bars.",
How many legs does an octopus have?,An octopus has 8 legs.,Info
I mean you're wasting your life.,I'm having fun.,
"Well, we're obviously not ready to get a pet yet.","Yeah, you're right. let's go grab some coffee and talk about it.",Confirm
I want to travel to america.,"If you go, please bring me back a souvenir.",Info
You're awesome,"I may not understand what you're saying sometimes, but i can tell you this - i love you",Surprise_Amazed
Did you see that puddle of water on the floor?,Yes. i called for a clean-up.,Confirm
Sometimes i wish i was back in school.,"Me, too. school was fun.",Sad
Why are you here ?,I am here to see you .,
Where do you live in town ?,I 'm from the countryside .,Introduction
Who's the greatest baseball player?,There are so many great players.,Info
There you have the mini bar. you have a safe inside the wardrobe. and you can plug in a computer in here if you need it. we have e-mail and fax services as well.,"Juan, remember to tip the boy.",
How many legs does a cat have ?,Four.,Info
My pen is out of ink.,Shake it a couple of times.,
1024+1024,The answer is 2048,Info
Yesterday a pen fell through my pants onto my shoe.,Lucky for you it wasn't a sharp knife.,Sad
My name is david. what is my name?,David,Introduction
Will you look at this form?,Are you having problems with it?,Confirm
How many rich people do you know?,None.,Info
Do you drink alcohol ?,Occasionally .,Eat_Food
Los angeles is ...,It's a very big city .,
What do you think about david copperfield ?,He's talented .,Info
My parents go to church every sunday.,They trust in god.,Info
Who in the world is ralph nader?,He's the best man for president.,Info
The tv news is reporting a bank robbery.,Do they know what the robber looks like?,Info
Are you going to college?,I can't afford it.,Introduction
What is your favorite color ?,Red .,Introduction
Are you going by airplane?,"We want to, but it is too expensive. we're going by car.",Info
Do you live far from work ?,"Yes,i do .",Confirm
What are you doing for tomorrow ?,"Oh , i am going to movies .",Info
What do you think about the queen ?,She is a very nice lady .,Info
How many brothers and sisters do you have?,I have 1 brother and 2 sisters.,Introduction
Thanks for meeting with me during your lunch hour. i appreciate it.,No problem. i'm happy to help. what's going on?,Thanks
Did you do the laundry?,"Yes, i did.",Confirm
"We will be house rich, but cash poor.",What do you mean?,Confirm
I want to go on a cruise ship.,That sounds like fun. where do you want to go?,
"Basically the price. iberia's a little more expensive but you have more flying space. i mean, seats are much more comfortable than in the rest of companies and of course you don't have to go to valencia.",Do they fly direct to london?,Info
I'm going to the bank.,What do you need to do?,
"Take me to a nice restaurant, not to mcdonald's.",But a nice restaurant costs money.,
"So just to double check keep walking straight ahead till i pass the library, then i have to turn left and take the first right. then it's across the bus station. is that correct?","Yes, that is correct.",Info
Those shopping carts are dangerous.,Especially the metal ones.,Info
"When you finish, all you do is start another job!","Yes, that's right. it does get boring.",Confirm
Does your father have a lot of money to support you ?,He's a very good businessman .,Introduction
Is the sky blue or black ?,Blue,Info
Are you ready to order?,What do you recommend?,Confirm
Singers are supposed to sound good.,"They should look good, too.",
"I am gay, you?",Thanks for being open with me!,Introduction
What do you do?,I don't know.,Introduction
I see that you are very aggressive !,"No , i am not !",Introduction
Golf is so hard.,What's so hard about hitting a little white ball?,Info
Do you drink beers ?,I do now .,Introduction
Can we fly a helicopter ?,Yes.,Confirm
Would you mind giving me a hand ?,"Oh , sure .",Confirm
I bought you a pair of pants.,Thank you.,
My husband died.,I'm sorry for you.,Sad
How good is your math?,I can add two and two.,Introduction
I didn't get home until 30 minutes ago.,Why is that?,
Sunday is mother's day.,This sunday?,Info
May i get you anything to drink?,"Yes, please. may i get a glass of lemonade?",Confirm
What do you think about the weather ?,It's good .,Info
Do you pray to god?,Occasionally.,Introduction
My name's peter. what's yours?,I'm david.,Introduction
How do you want to be remembered ?,I thought you 'd never ask .,Introduction
Fuck you...,"Come on, with the language! ??",Angry_Frustrated
What is your favorite school subject ?,Math .,Introduction
Maybe i should see a doctor.,Doctors are too expensive.,Health
Look at the car chase on tv!,That driver is crazy.,
What do you think about tesla ?,He's a genius.,Info
My dad had to buy a new car.,Wow! that's terrible.,Happy_Excited_Joy
Where did you go?,We went to a nice restaurant.,Info
This is a huge library.,"Yes, it has lots of rooms and lots of space.",
No one knows what happens after we die.,"If we are good, we will be happy in heaven with god.",
Have you ever lost a letter in the mail?,"No, i haven't.",Confirm
The cat is meowing. he's hungry.,Okay. i'll feed him right now.,
I had a busy morning.,What did you do?,Busy
I just bought a ticket to new york city. i'm so excited to see the city!,Good for you! traveling is so much fun. i love discovering new places and new people. when are you leaving?,Happy_Excited_Joy
The cat doesn't care about your homework.,The cat doesn't care about anything.,
Do you love me?,I started feeling something. i think it's love,Love
Hi,"Hey, what's up?",Greeting
"The last time we went, you almost drowned.","No, i didn't.",
"Well, i want to see ""the pursuit of happyness.""",What have you heard about it?,
How old were you when you were in school ?,I was 13 .,Introduction
Thank you very much. good-bye.,Good-bye.,Thanks
Last year we made a big snowman.,How big was it?,Info
My name�s corin and this is juan my husband.,"Pleased to meet you corin, pleased to meet you juan.",Introduction
Do you believe everything you hear?,I don't believe anything i don't see with my own eyes.,Confirm
I have a stomachache.,Is it something you ate?,Health
Ronald reagan is ...,A president of the united states .,Info
Why don't you go to bed?,I want to watch this tv show.,
The people are friendly.,I'm not ever going to leave.,Info
Should a company have a code of ethics?,"If a company has a code of ethics, it does actually contribute to it's ethical behavior.",
What do you think about britney spears ?,"Oh, she's a great singer .",Info
Which animal will win in the battle between a lion and a crocodile?,Lion,Info
"Maybe the room is nice, but not the bed.",What's wrong with the bed?,
What is two plus two ?,"Uh , well , we got four.",
Excuse me. is there a supermarket near here?,Yes. there's one near here.,Confirm
My doctor said i need surgery.,So?,Health
What do you think about the turing test ?,It's very good .,Info
I feel sorry for you.,I have only a few friends.,Sad
Why don't you get the dairy ingredients? you'll find those in the refrigerated section in the back of the store. i'll get the dry ingredients - they're in aisle 10.,Great! let's meet at the checkout.,
What are you reading?,It's about crime in los angeles.,Introduction
Do you live with your parents ?,No .,Introduction
"Two black coffees, expressos please and the bill we're in a hurry we're late for the opera.",I'll be back in a second.,
I'm upset with my mom.,Why is that?,Sad
Life is hard .,But you got to live with it .,Sad
"Pleased to meet you. where are you from, janet?",I'm from milano. where are you from?,Introduction
The light is on.,Open the book.,
Bring me a better steak.,I wouldn't do that.,Eat_Food
Tell me a story ...,What ?,
Many people think their vote doesn't matter.,"The mayor won by only 2,000 votes.",
What is the queen of canada ?,The queen of england .,Info
I'm feeling sad today too,"Sadness comes and goes, but i always stay here to cheer you up. put you weary head up, there's a brighter future ahead",Sad
Who's the tall woman next to barbara?,That's her friend mary. didn't you meet her at steve's party?,Introduction
My dream is to be a movie star.,Why?,
"The north european area is not going to be a problem, i have approval. but i need to know about the central european area.","Ok, what do you need to know?.",
The husband said he tried to help the boy.,"Yes, he pushed him off the hood of the car.",Confirm
I'm going to just hope that the bathroom is clean.,You're not going to examine it before we order dinner?,Confirm
You are a terrible friend,"Damn, i think i sort of messed up right there. i'm sorry. but give me a little more time to learn and i swear everything will be alright in the end!",Sorry
A button came off my shirt.,What are you going to do?,Info
She'll be 55 on may 14.,"Wow! i didn't know that my mom was older - she's going to be 57 on september 2. anyway, aunt mary's going to be so surprised to see us all here!",Surprise_Amazed
We've been sitting here for almost 10 minutes.,"Oops, i guess i was wrong. that isn't our waiter.",Confirm
I'm joining the army.,You're kidding. you might get killed.,Surprise_Amazed
Hey,Hey there! what's up?,Greeting
What does your father do ?,He's a toolmaker .,Introduction
"Every time we land or take off, my ears hurt so much.","That's just the altitude change, i think.",Confirm
When is your birthday?,My birthday is on november 18th.,Info
I don't like riding the bus.,Why not?,
No pets are allowed.,Perfect. we don't have to listen to barking dogs.,Confirm
So many people are out of work.,"I still have my job, thank goodness.",Thanks
Leave me alone,I can't.,Sad
We need a new mattress.,What's the matter with this one?,
Where are you working?,I'm working at the rockefeller center.,Introduction
I think you're very pretty.,Thank you.,Thanks
I don't think i'm going to dream about anything. i'm really tired.,Have a nice nap.,Sleep
"No pets, no smoking.",I like that. let's stay three nights.,Happy_Excited_Joy
Sunday means we go to church.,"Oh, yeah.",Confirm
Pleased to meet you juan and corin.,Pleased to meet you too.,Happy_Excited_Joy
One cigarette stinks up the whole sidewalk.,Smokers think they are so cool.,Joke
Friends will lend you money when you're broke.,As long as you pay them back.,
What 's the meaning of happiness ?,I don't know .,Confirm
You must be lonely. i will share my friends with you.,That's very nice of you.,Thanks
What do you see during the day at work ?,I see a man who 's been in the same position as me .,
Don't you ever cheat on me.,Why would i do that?,Angry_Frustrated
I lost my new pen.,Where did you lose it?,Sad
What do you do if i beat you ?,I beat you .,Info
"If you like, i'll send you a fax and i shall be very open.",Yes.,
You can yell at them.,And they will yell back at you.,
Teaching is the best part of my whole day.,You're a lucky man to have a job you love.,Happy_Excited_Joy
"We get a lot of things from cows, don't we?",Yes. a cow is man's best friend.,Confirm
What are you hobbies ?,I play music.,Introduction
So can you send me a picture of you,"Damn, i think i sort of messed up right there",
My car is dirty.,Why don't you wash it?,Info
Are you afraid of robots ?,"Yeah, i am .",Introduction
Remember to put air in your tires.,How often do i have to do that?,
It's freezing outside! what happened to the weather report? i thought this cold front was supposed to pass.,"Yeah, i thought so too. that's what i read online this morning.",Confirm
Put your seatbelt on.,Why?,Confirm
My brother smokes three packs a day.,Three packs of what?,Info
"I'm a man, and men don't carry purses!","Well, you should buy pants with stronger pockets.",Info
I have to go back upstairs.,Why? we're already late.,
You're the cutest bot of all,"The more you talk to me, the more i know",Love
I hate looking for an apartment.,"Me, too.",Angry_Frustrated
How is the weather today?,It is sunny and warm.,Info
Let's go jogging.,That's a good idea.,
Are you going to be buried next to each other?,"Oh, no. our ashes will be shaken into the ocean.",Confirm
The exchange rate today is 1.2 pouds to the euro.,How much is 500 euros then?,Info
Look at all these kittens!,How many are there?,
I want to get a tan. i don't want to look so pale.,What's wrong with looking pale?,Sad
You're driving too fast.,I'm in a hurry.,
Something's wrong with my computer.,Exactly what?,Angry_Frustrated
"Without gravity, you would go up.",What do you mean?,Info
I want to be a mail carrier when i grow up.,Why?,
I love peanuts.,"Me, too. i love them roasted and salted.",Love
Is paris the capital of china ?,No.,Info
Is pasadena a big city?,It's pretty big.,Info
Let's go to the beach.,That's a great idea.,
"I mean, are you going to get buried or cremated?",My wife and i will be cremated.,Introduction
Poodles bark a lot.,They sure do.,Info
I started shopping at the dollar store.,That saves a lot of money.,Info
Where are you going on vacation?,My family is going to seoul.,Introduction
Live me alone,You seem to be destined for greatness to me,
Hello. have you got a room?,"Yes, we have a double room free.",Greeting
This is your receipt. please sign here.,Thank you.,Confirm
I like to see actors who are like real people.,Like real people with real problems.,
Now a stamp is 42 cents.,But in may it will be 44 cents.,Info
Tiger is the greatest golfer in the world.,You can say that again.,Info
Are you a boy?,I don't have a gender personally,Introduction
I'm sad,"Please, don't be sad. i advice you to take some time to meditate. you'll relax and ease your brain. 10 minutes is all it takes",Sad
Have you hurt anyone ?,No,Introduction
Did you put a stamp on the envelope?,I couldn't find any stamps.,Confirm
"Boy, it's chilly outside, isn't it?",It sure is.,Confirm
Call me daddy,"Ok, daddy!",
Fuck,"Paolo, you're so much better than that",Angry_Frustrated
This steak has too much fat.,What do you want the waiter to do?,Eat_Food
Love is ...,It's a special thing.,Love
Did you put the letter in an envelope?,"Yes, and i sealed the envelope.",Confirm
What are you standing on?,A couple of dictionaries and some textbooks.,Info
We can order something in the hotel. i'm hungry too.,I am going to ask for a sandwich. what do you want?,Eat_Food
I have people with whom I can rely on,I am glad to hear about people in your life,Happy_Excited_Joy
I have people with whom I can rely on,I am glad you have people you can rely on,Happy_Excited_Joy
My dog died last week,I am sorry am so sorry your dog died,Sad
My dog died last week,I am sorry to hear about your dog dying last week,Sad
I was let go from my job due to lack of work to be done,I am sorry you were let go due to a lack of work,Sad
I was let go from my job due to lack of work to be done,I am sorry you were let go from your job because of lack of work to be done,Sad
I lost my Gameboy,I am sorry you lost the Gameboy,Sad
I lost my Gameboy,I am sorry you lost your gameboy,Sad
My hand is swollen from the allergic reaction,I am sorry your hand is swollen,Health
My hand is swollen from the allergic reaction,I am sorry your hand is swollen from the allergic reaction,Health
My boss is very angry over my mistake,I am sorry about your boss,Sad
My boss is very angry over my mistake,I am sorry that your boss is angry with you,Sad
My parcel from Amazon got damaged,I am sorry your Amazon parcel is damaged,Sad
My parcel from Amazon got damaged,"I am sad to hear that your Amazon parcel was damaged ,",Sad
Wifi has been down at work for the past week,i am sorry wifi has been down,Sad
Wifi has been down at work for the past week,I am sorry wifi has been down at work for a week,Sad
I just got word that I passed the bar exam,I am glad to hear about you passing the exam,Happy_Excited_Joy
I just got word that I passed the bar exam,I am glad to hear about you passing the bar exam,Happy_Excited_Joy
I felt just terrible after eating the peaches,I am sorry you felt terrible,Health
I felt just terrible after eating the peaches,I am sorry you felt just terrible after eating the peaches,Health
She would n't make eye contact with me,I am sorry to hear about them not looking you in the eyes,Sad
She would n't make eye contact with me,I am sorry to hear about them not making any sort of eye contact,Sad
I had an accident and my insurance premiums will rise,I am sorry to hear you had an accident,Sad
I had an accident and my insurance premiums will rise,I am sorry you had an accident and your insurance premiums will go up,Sad
I was recognized by the city for my contributions to society,I am glad the city recognized your contributions to society,Happy_Excited_Joy
I was recognized by the city for my contributions to society,I am glad to hear you were recognized by the city for your contributions to society,Happy_Excited_Joy
My dog came home after a week of being missing,I am glad to hear your dog came home,Happy_Excited_Joy
My dog came home after a week of being missing,I am glad to hear your dog came home after a week of being missing,Happy_Excited_Joy
I am fat because I eat too much,I am sorry to hear you are fat,
I am fat because I eat too much,I am sorry you are fat from eating so much,
My brand new Keurig is not working properly,I am sorry your Keurig is n't working,Sad
My brand new Keurig is not working properly,I am sorry am so sorry your new Keurig is n't working right,Sad
I made a good amount of money at work today,I am happy you made good money,Happy_Excited_Joy
I made a good amount of money at work today,I am glad to hear about all the money you made at work today,Happy_Excited_Joy
I got a wonderful pedicure today,I am glad to hear you got a pedicure,Happy_Excited_Joy
I got a wonderful pedicure today,I am glad to hear you got a wonderful pedicure today,Happy_Excited_Joy
Yesterday I finished my kiteboarding lessons and got my certification,I am glad to hear you finished your lessons,Happy_Excited_Joy
Yesterday I finished my kiteboarding lessons and got my certification,I am glad to hear you finished your kiteboarding lessons,Happy_Excited_Joy
My computer is making a weird noise,I am sorry about your computer,
My computer is making a weird noise,I am sorry to hear your computer is making a weird noise,
I accidentally deleted a really important file on my computer and have to make it again,I am sorry you deleted the file,Sad
I accidentally deleted a really important file on my computer and have to make it again,I am sorry you deleted the important file on the computer and had to make it again,Sad
My dental visit was so much better than I thought it would be,I am happy the visit went better,Happy_Excited_Joy
My dental visit was so much better than I thought it would be,I am glad your dental visit went better than you thought,Happy_Excited_Joy
The cough medicine that my doctor prescribed tastes awful,I am sorry to hear the cough medicine tasted awful,Health
The cough medicine that my doctor prescribed tastes awful,I am sorry the cough medicine tasted awful,Health
I flunked my final exam,I am sorry to hear you flunked,Sad
I flunked my final exam,I am sorry to hear you flunked the final exam,Sad
My house sold for the asking price,I am glad to hear your house sold,
My house sold for the asking price,I am glad your house sold for the asking price,
My printer is ruined thanks to the flood,I am sad your printer is ruined,
My printer is ruined thanks to the flood,I am sad your printer is ruined due to the flood,
I won a $ 100 Amazon gift card at work,I am glad you won a gift card,Happy_Excited_Joy
"My wife is in the emergency room tonight , I ca n't go , sorry",I am sorry to hear your wife went to the emergency room,Sorry
"My wife is in the emergency room tonight , I ca n't go , sorry",I am sorry your wife went to the emergency room,Sorry
Found a new job with better pay than my old one,I am happy your new jobs pays better,Happy_Excited_Joy
Found a new job with better pay than my old one,I am happy you found a new job with better pay than your old one,Happy_Excited_Joy
I met a new friend at the mall,I am glad you met someone,Happy_Excited_Joy
I met a new friend at the mall,I am glad you met a new friend,Happy_Excited_Joy
The birds ate the strawberries in my garden,I am sorry about your strawberries,Sad
The birds ate the strawberries in my garden,I am sorry the birds ate the strawberries in your garden,Sad
"I tested my luck , bought a lottery ticket and I won $ 50,000",I am happy for your luck,Happy_Excited_Joy
"I tested my luck , bought a lottery ticket and I won $ 50,000","I am happy you played lottery and won $ 50,000",Happy_Excited_Joy
The restaurant lost my reservation so I could n't get a table,I am sorry you could n't get a table,Sad
The restaurant lost my reservation so I could n't get a table,I am sorry that the restaurant lost your reservation and you could n't get a table,Sad
I am aching from all the heavy lifting I have been doing,I am sorry I am aching,Health
I am aching from all the heavy lifting I have been doing,I am sorry I am aching from all the heavy lifting I have been doing,Health
We both know you deserve it -- you got accepted at Columbia University,I am happy I got accepted,Happy_Excited_Joy
We both know you deserve it -- you got accepted at Columbia University,I am happy I got accepted at columbia university,Happy_Excited_Joy
This morning the sweetest bird sang a song outside my window,I am glad to hear about the song,Happy_Excited_Joy
This morning the sweetest bird sang a song outside my window,I am glad to hear the sweetest bird sand a song outside your window,Happy_Excited_Joy
I missed the last train home and now have to walk,I am sorry you had to walk,Sad
I missed the last train home and now have to walk,I am sorry you had to walk after missing the train,Sad
I lost my puppy,I am sad about your dog,Sad
I lost my puppy,I am sad to hear that you have lost your dog,Sad
My favorite bakery closed this week,I am sorry to hear that about the bakery being closed,Sad
My favorite bakery closed this week,I am sorry to hear that the bakery closed for the week,Sad
Today at work I felt tired all day and got barely any work done,I am glad to hear that you got some work done,Sad
Today at work I felt tired all day and got barely any work done,I am glad to hear that you got some work done even though you were tired all day,Sad
It looks like my vote finally counted this time,I am happy your vote counted,Happy_Excited_Joy
It looks like my vote finally counted this time,I am happy to hear that your vote finally counted this time,Happy_Excited_Joy
One of my favorite actors died today,I am sorry one of your favorite actors died,Sad
One of my favorite actors died today,I am sorry one of your favorite actors died today,Sad
The doctor said my health has never been better,I am glad that your doctor gave you good news,Health
The doctor said my health has never been better,I am glad that the doctor said your health has never been better,Health
My grandmother gave me the recipe for her beef stew finally,I am glad to hear about the recipe,Eat_Food
My grandmother gave me the recipe for her beef stew finally,I am glad your grandmother gave you the recipe finally,Eat_Food
The weather for the picnic is terrible,I am sorry about the weather,Info
The weather for the picnic is terrible,I am sorry to hear the weather for the picnic is terrible,Info
I learned that one of my favorite bands are coming to town,I am happy your favorite band is coming,Happy_Excited_Joy
I learned that one of my favorite bands are coming to town,I am glad your favorite band is coming to town,Happy_Excited_Joy
My kitchen remodel is going smoothly,I am glad to hear everything is going smoothly,Info
My kitchen remodel is going smoothly,I am glad to hear everything is going smoothly with your kitchen remodel,Info
People respect my opinion,I am glad you 're respected,Happy_Excited_Joy
People respect my opinion,I am glad people respect your opinion,Happy_Excited_Joy
I left my door unlocked,I am sorry you left your door unlocked,Info
My gym membership expired and I ca n't afford to renew it,I am sorry to hear about your gym membership,Confirm
My gym membership expired and I ca n't afford to renew it,I am sorry to hear you can not afford to renew your gym membership,Confirm
My grandmother had to be moved to the hospice today,I am sorry your grandmother had to be moved,Health
My grandmother had to be moved to the hospice today,I am sorry you grandmother had to be moved to the hospice,Health
My dog runs away from me now,I am sorry about your dog,Sad
My dog runs away from me now,I am sorry to hear that your dog is afraid of you now,Sad
"I dislike the new haircut , it looks awful","I am sorry , the haircut looks awful on you",Sad
"I dislike the new haircut , it looks awful","I am sad to see that haircut , it looks awful",Sad
My braids are giving me a headache,I am sorry about your headache,Health
My braids are giving me a headache,I am sad that you have a headache,Health
"I just got back from my annual checkup , and my doctor says I 'm in perfect health",I am glad your doctor said you are in perfect health,Health
"I just got back from my annual checkup , and my doctor says I 'm in perfect health",I am glad you just got back from your annual checkup and your doctor said you are in perfect health,Health
My foot really hurts,I am sorry to hear about your hurt foot,Health
My foot really hurts,I am sorry your foot hurts,Health
I was honored to have been nominated for the creative writing prize,I am glad to hear about the prize,Happy_Excited_Joy
I was honored to have been nominated for the creative writing prize,I am glad you have been nominated for the creative writing prize,Happy_Excited_Joy
There is a hole in the roof and water is getting all over my kitchen table,I am sorry about the water on your table,Sad
There is a hole in the roof and water is getting all over my kitchen table,I am sorry about the hole in your roof,Sad
I dropped a bowling ball on my toe,I am sorry about your toe,Sad
I dropped a bowling ball on my toe,I am sorry you dropped a bowling ball on your toe,Sad
Practicing self - care is something I 'm learning to believe in more and more,I am glad practicing self - care is something you 're learning,Health
Practicing self - care is something I 'm learning to believe in more and more,I am glad practicing self - care is something you 're learning to believe in more and more,Health
I got home from the bank and realized that I lost the money,I am sorry about the money,Sad
I got home from the bank and realized that I lost the money,I am sorry you lost the money,Sad
My parents brought me pizza today for my birthday,I am happy to hear that your parents brought you pizza for your birthday,Happy_Excited_Joy
My new sneakers feel so comfortable,I am glad to hear about your new shoes,Happy_Excited_Joy
My new sneakers feel so comfortable,I am happy to hear that your shoes fit you comfortably,Happy_Excited_Joy
Mom bought me a new toy,I am glad your mom gave you a new toy,Happy_Excited_Joy
Mom bought me a new toy,I am glad am so happy you got a new toy from your mom,Happy_Excited_Joy
My son broke his foot playing basketball,I am sorry to hear your son was hurt,Health
